Timestamp,Word,Reading,Definitions,Sentence,Image
1789425675,日本語,にほんご,Japanese language,日本語を勉強する,
1789425677,冒険,ぼうけん,adventure | venture,冒険を始めよう！,
1789426031,日本語,にほんご,Japanese language,日本語を勉強する,
1789426033,冒険,ぼうけん,adventure | venture,冒険を始めよう！,
1789426150,日本語,にほんご,Japanese language,日本語を勉強する,
1789426152,冒険,ぼうけん,adventure | venture,冒険を始めよう！,
1789426292,日本語,にほんご,Japanese language,日本語を勉強する,
1789426294,冒険,ぼうけん,adventure | venture,冒険を始めよう！,
1789426310,日本語,にほんご,Japanese language,日本語を勉強する,
1789426312,冒険,ぼうけん,adventure | venture,冒険を始めよう！,
1789426359,日本語,にほんご,Japanese language,日本語を勉強する,
1789426361,冒険,ぼうけん,adventure | venture,冒険を始めよう！,
